datetime,actual_value,xgboost_forecast,lightgbm_forecast,gradient_boosting_forecast,catboost_forecast,adaboost_forecast,lstm_forecast
2025-12-18 23:00:00,11.78,12.145553,10.779088703352844,12.121153148552812,10.664548012384437,10.605377854444276,11.75
2025-12-18 23:30:00,12.5,11.3816595,10.40724429569278,11.036416344732771,10.075411668483838,8.38550881057275,11.41
2025-12-19 00:00:00,10.56,10.721174,10.8670575983803,11.62704058857233,11.897439886448163,8.578707448540385,10.57
2025-12-19 00:30:00,10.43,10.844097,10.727940754215409,11.2388625831663,11.606942815470353,8.800452775502588,10.55
2025-12-19 01:00:00,10.62,10.936682,10.770816464735269,11.183315986061263,11.162110319896506,8.800452775502588,10.43
2025-12-19 01:30:00,10.48,10.872238,10.866388555503564,11.232761487736882,10.948668885671522,8.800452775502588,10.63
2025-12-19 02:00:00,10.87,11.155748,10.866388555503564,11.393678390387342,11.55372277906384,8.850576968062533,10.7
2025-12-19 02:30:00,10.96,11.144588,10.794687384414974,11.346960458357689,11.214910119137604,8.850576968062533,10.75
2025-12-19 03:00:00,10.65,11.610525,10.973170053373424,11.63893236577287,10.973009871426372,9.291207996034828,10.75
2025-12-19 03:30:00,10.84,11.230409,11.166142715515909,11.368609198426809,10.377118816130974,9.291207996034828,10.74
2025-12-19 04:00:00,10.83,10.992486,10.908177120648254,11.291308495782078,10.779458876078865,8.924472233605046,10.8
2025-12-19 04:30:00,10.81,11.477301,11.382642780804073,12.026817598731268,11.010591074900882,8.924472233605046,10.81
2025-12-19 05:00:00,11.1,11.428704,11.330736172718993,12.037577658319169,10.910463194446612,8.931392701749362,10.9
2025-12-19 05:30:00,12.5,11.515398,11.411719520091197,12.018144838984613,10.29260911329643,9.923783820866312,11.24
2025-12-19 06:00:00,13.84,11.820342,11.566821282906323,12.556564746460475,11.197380056143722,11.39909806149461,11.25
2025-12-19 06:30:00,14.48,12.601898,12.737904351652794,13.725570974343569,12.733563955467767,13.416680429508771,12.1
2025-12-19 07:00:00,15.08,13.844371,14.22339563863205,13.46892037853663,13.07891125328426,13.56279419354775,12.57
2025-12-19 07:30:00,14.48,13.504858,13.279404341083715,13.051953208131984,14.133169942479984,13.435627095734118,12.19
2025-12-19 08:00:00,13.01,13.09566,13.601312170815298,14.087118633000197,14.809248790167285,13.44797740639606,12.37
2025-12-19 08:30:00,10.97,13.122406,13.139570595819093,14.512120375028264,14.406136397303278,13.416680429508771,12.34
2025-12-19 09:00:00,10.85,12.789319,12.389244071304166,12.990384972403668,15.413212039730666,13.106985697832734,11.72
2025-12-19 09:30:00,9.92,11.426204,10.744426606491803,10.741484029301972,13.866399580055292,11.180953122539114,11.61
2025-12-19 10:00:00,8.5,9.965752,10.313043254486908,9.631762920971914,13.398833121000116,9.870817557511112,12.31
2025-12-19 10:30:00,8.28,9.0335455,9.968922416028306,9.568232154334268,11.31685819608612,9.3928986954622,11.81
2025-12-19 11:00:00,8.12,8.682952,9.111361091784891,10.62328880338409,11.09389061541505,8.36034559384442,12.25
2025-12-19 11:30:00,8.0,9.068406,8.126913355357999,9.018554583749538,7.765042050358941,7.75435448440363,10.3
2025-12-19 12:00:00,7.41,7.036648,5.874563250308606,7.13222567391041,7.849789473251145,7.072533653846468,10.03
2025-12-19 12:30:00,6.85,6.9050603,4.832438540448722,6.581763678995647,7.005066998192661,7.072533653846468,10.05
